date,title,file,link
08.12.2022,President Radev of Bulgaria to visit Türkiye,PresSpeechEN56.txt,https://www.tccb.gov.tr/en/speeches-statements/558/142014/president-radev-of-bulgaria-to-visit-turkiye
24.11.2022,Prime Minister Shehbaz Sharif of Pakistan to Visit Türkiye,PresSpeechEN57.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141828/prime-minister-shehbaz-sharif-of-pakistan-to-visit-turkiye
22.11.2022,President Díaz-Canel of Cuba to Visit Türkiye,PresSpeechEN58.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141766/president-d-az-canel-of-cuba-to-visit-turkiye
19.11.2022,President Erdoğan to Visit Qatar ,PresSpeechEN59.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141742/president-erdogan-to-visit-qatar-
18.11.2022,Phone Call with President Ersin Tatar of the Turkish Republic of Northern Cyprus (TRNC),PresSpeechEN60.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141838/phone-call-with-president-ersin-tatar-of-the-turkish-republic-of-northern-cyprus-trnc-
18.11.2022,Phone Call with President Volodymyr Zelenskyy of Ukraine,PresSpeechEN61.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141837/phone-call-with-president-volodymyr-zelenskyy-of-ukraine
18.11.2022,Phone Call with President Vladimir Putin of Russia,PresSpeechEN62.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141836/phone-call-with-president-vladimir-putin-of-russia
12.11.2022,President Erdoğan to Visit Indonesia,PresSpeechEN63.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141666/president-erdogan-to-visit-indonesia
09.11.2022,President Erdoğan to Visit Uzbekistan,PresSpeechEN64.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141589/president-erdogan-to-visit-uzbekistan
06.11.2022,Prime Minister Kristersson of Sweden to Visit Türkiye,PresSpeechEN65.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141523/prime-minister-kristersson-of-sweden-to-visit-turkiye
04.11.2022,Phone Call with UN Secretary-General Guterres,PresSpeechEN66.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141479/phone-call-with-un-secretary-general-guterres
02.11.2022,Phone Call with President Zelensky of Ukraine,PresSpeechEN67.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141471/phone-call-with-president-zelensky-of-ukraine
01.11.2022,Phone Call with President Putin of Russia,PresSpeechEN68.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141469/phone-call-with-president-putin-of-russia
01.11.2022,Phone Call with Chancellor Scholz of Germany,PresSpeechEN69.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141470/phone-call-with-chancellor-scholz-of-germany
29.10.2022,President Erdoğan’s Message on 29 October Republic Day,PresSpeechEN70.txt,https://www.tccb.gov.tr/en/speeches-statements/558/141392/president-erdogan-s-message-on-29-october-republic-day
24.10.2022,President Erdoğan’s Message on the 77th Anniversary of the Establishment of the UN,PresSpeechEN71.txt,https://www.tccb.gov.tr/en/speeches-statements/558/140336/president-erdogan-s-message-on-the-77th-anniversary-of-the-establishment-of-the-un
19.10.2022,President Erdoğan to Visit Azerbaijan,PresSpeechEN72.txt,https://www.tccb.gov.tr/en/speeches-statements/558/140232/president-erdogan-to-visit-azerbaijan
13.10.2022,Qatar Emir Sheikh Tamim to Visit Türkiye,PresSpeechEN73.txt,https://www.tccb.gov.tr/en/speeches-statements/558/140144/qatar-emir-sheikh-tamim-to-visit-turkiye
11.10.2022,President Erdoğan to Visit Kazakhstan ,PresSpeechEN74.txt,https://www.tccb.gov.tr/en/speeches-statements/558/140095/president-erdogan-to-visit-kazakhstan-
07.10.2022,Phone Call with President Putin of Russia,PresSpeechEN75.txt,https://www.tccb.gov.tr/en/speeches-statements/558/140074/phone-call-with-president-putin-of-russia
06.10.2022,President Erdoğan to Visit Czech Republic,PresSpeechEN76.txt,https://www.tccb.gov.tr/en/speeches-statements/558/139990/president-erdogan-to-visit-czech-republic
25.09.2022,President Erdoğan’s Message on Rosh Hashanah,PresSpeechEN77.txt,https://www.tccb.gov.tr/en/speeches-statements/558/139834/president-erdogan-s-message-on-rosh-hashanah
14.09.2022,President Erdoğan to Visit Uzbekistan and the U.S.,PresSpeechEN78.txt,https://www.tccb.gov.tr/en/speeches-statements/558/139598/president-erdogan-to-visit-uzbekistan-and-the-u-s-
05.09.2022,"President Erdoğan to Visit Bosnia and Herzegovina, Serbia and Croatia",PresSpeechEN79.txt,https://www.tccb.gov.tr/en/speeches-statements/558/139406/president-erdogan-to-visit-bosnia-and-herzegovina-serbia-and-croatia
29.08.2022,Message on August 30 Victory Day,PresSpeechEN80.txt,https://www.tccb.gov.tr/en/speeches-statements/558/139273/message-on-august-30-victory-day
22.08.2022,President Mahmoud Abbas of Palestine to Visit Türkiye,PresSpeechEN81.txt,https://www.tccb.gov.tr/en/speeches-statements/558/139203/president-mahmoud-abbas-of-palestine-to-visit-turkiye
19.08.2022,Phone Call with President Isaac Herzog of Israel,PresSpeechEN82.txt,https://www.tccb.gov.tr/en/speeches-statements/558/139158/phone-call-with-president-isaac-herzog-of-israel
