video_filename,url,title,length_seconds,publish_date,description,keywords,date,date_src,transcription_filename
video_404.mp4,https://www.youtube.com/watch?v=VNy6sxf5JLk,"Cumhurbaşkanımız Erdoğan, Gaziantep Belediye Başkan Adaylarını Tanıtım Toplantısı'nda konuştu",2738,2019-01-26 00:00:00,,[],26.01.2019,live_stream,
video_405.mp4,https://www.youtube.com/watch?v=lKJcvRdt7QI,"Cumhurbaşkanımız Erdoğan, Erzurum İl Başkanlığı Teşkilat Yemeği'nde konuştu",505,2019-01-25 00:00:00,,[],25.01.2019,live_stream,
video_406.mp4,https://www.youtube.com/watch?v=nj8GyvieOdQ,"Cumhurbaşkanımız Erdoğan, Erzurum Belediye Başkan Adaylarını Tanıtım Toplantısı'nda konuştu",2966,2019-01-25 00:00:00,,[],25.01.2019,live_stream,
video_407.mp4,https://www.youtube.com/watch?v=r2ZQJK5LSfs,"Cumhurbaşkanımız Erdoğan, Kara Harp Okulu Töreni’nde konuştu",1429,2019-01-24 00:00:00,,[],24.01.2019,live_stream,
video_408.mp4,https://www.youtube.com/watch?v=UfGppMbAGrE,"Cumhurbaşkanımız Erdoğan, TOBB Ekonomi Şurası’nda konuştu",1784,2019-01-21 00:00:00,,[],21.01.2019,live_stream,
video_409.mp4,https://www.youtube.com/watch?v=0-KF01893tk,"Cumhurbaşkanımız Erdoğan, Samsun Belediye Başkan Adaylarını Tanıtım Toplantısı'nda konuştu",3473,2019-01-19 00:00:00,,[],19.01.2019,live_stream,
video_410.mp4,https://www.youtube.com/watch?v=QiqhpEWc1LI,"Cumhurbaşkanımız Erdoğan, Sakarya Aday Tanıtım Toplantısı'nda konuştu",3341,2019-01-13 00:00:00,,[],13.01.2019,live_stream,
video_411.mp4,https://www.youtube.com/watch?v=Z-uq7NfzIkQ,"Cumhurbaşkanımız Erdoğan, Kocaeli Belediye Başkan Adaylarını Tanıtım Programı'nda konuştu",3194,2019-01-12 00:00:00,,[],12.01.2019,live_stream,
video_412.mp4,https://www.youtube.com/watch?v=RQjuQFQFAIc,"Cumhurbaşkanımız Erdoğan, Trabzon Belediye Başkan Adaylarını Tanıtım Programı'nda konuşuyor...",2299,2019-01-11 00:00:00,,[],11.01.2019,live_stream,
video_413.mp4,https://www.youtube.com/watch?v=RgmEMKgFDvM,"Cumhurbaşkanımız Erdoğan, Erzurum Milletvekili Aksak’ın cenaze töreninde konuştu",191,2019-01-11 00:00:00,,[],,,
